filepath,transcription,duration,spkr_id
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400030.wav,archrival,4.0918125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400080.wav,background,4.0925,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4000d0.wav,biology,4.0921875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4000i0.wav,cashflow,4.092125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4000n0.wav,childhood,2.617125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4000s0.wav,cooperate,3.1576875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4000x0.wav,dashboard,4.0919375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400120.wav,disrupt,4.598875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400170.wav,endure,3.5904375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4001c0.wav,fancy,2.0884375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4001h0.wav,fragment,3.1569375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4001m0.wav,hawthorne,3.5905625,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4001r0.wav,hourly,2.6148125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4001w0.wav,join,2.6156875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400210.wav,lethargic,2.0885,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400260.wav,lure,2.0880625,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4002b0.wav,midnight,4.0918125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4002g0.wav,musician,2.088375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4002l0.wav,nothing,2.626,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4002v0.wav,two six nine zero two two zero,8.588875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4002w0.wav,two four seven six three seven four,8.58925,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400300.wav,obstacle,2.0881875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400350.wav,overalls,2.6161875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4003a0.wav,payouts,2.6153125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4003f0.wav,points,2.0884375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4003h0.wav,push,3.1559375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4003l0.wav,represents,3.1560625,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4003q0.wav,scallywag,3.1556875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400500.wav,the flood took a car down the street,6.584875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005h0.wav,she'll be ready very soon,5.150125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005j0.wav,will you sing this song,5.148125,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005r0.wav,her veins pop out when she is mad,6.09525,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005w0.wav,when will we go on vacation,4.09225,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005y0.wav,he breathed a sigh of relief,5.5944375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks4005z0.wav,don't leave so soon,4.0919375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400600.wav,because my leg is sore i can't play,6.595375,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400610.wav,he was really nice to us,4.5981875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400620.wav,eating blueberries gives you blue hands,6.6011875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400630.wav,that was an odd decision,4.091875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400640.wav,sir have you seen my coat,4.5996875,ks400
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks400/ks400650.wav,i have ice cream for you,6.095375,ks400
