recordingID,filepath,transcription_original,transcription_clean,transcribed,has_audio_file,has_speech_in_audio,duration,spkr_id,usable,set
myst_990596_2010-09-04_00-00-00_MS_2.2_024,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990596/myst_990596_2010-09-04_00-00-00_MS_2.2/myst_990596_2010-09-04_00-00-00_MS_2.2_024.wav,"WELL I FOUND OUT IT'S OVER ONE THOUSAND KILOGRAMS SO YOU'RE G GONNA HAVE
",well i found out it's over one thousand kilograms so you're g gonna have,True,True,True,7.5429999999999975,990596,True,finetune
myst_007082_2014-04-24_09-09-48_EE_2.3_003,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007082/myst_007082_2014-04-24_09-09-48_EE_2.3/myst_007082_2014-04-24_09-09-48_EE_2.3_003.wav,"Need to they need a parallel circuit to work
",need to they need a parallel circuit to work,True,True,True,4.1765,007082,True,finetune
myst_013018_2014-05-28_13-39-07_LS_3.3_017,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013018/myst_013018_2014-05-28_13-39-07_LS_3.3/myst_013018_2014-05-28_13-39-07_LS_3.3_017.wav,"i think it's so important because if we didn't switch gases with plants we wouldn't be able to breathe
",i think it's so important because if we didn't switch gases with plants we wouldn't be able to breathe,True,True,True,9.0074375,013018,True,finetune
myst_013020_2014-05-22_12-58-55_LS_2.3_004,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013020/myst_013020_2014-05-22_12-58-55_LS_2.3/myst_013020_2014-05-22_12-58-55_LS_2.3_004.wav,"we've been learning about this yeast before and we've been this part of sort of been like animal too
",we've been learning about this yeast before and we've been this part of sort of been like animal too,True,True,True,7.5884375,013020,True,finetune
myst_995736_2011-17-02_00-00-00_ME_2.3_012,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995736/myst_995736_2011-17-02_00-00-00_ME_2.3/myst_995736_2011-17-02_00-00-00_ME_2.3_012.wav,"WHEN YOU ADD AN INSULATOR TO IT IT'S THE MOTOR IS NOT GONNA TURN OR THE LIGHT BULB'S NOT GONNA LIGHT UP
",when you add an insulator to it it's the motor is not gonna turn or the light bulb's not gonna light up,True,True,True,7.4220000000000015,995736,True,finetune
myst_013033_2014-05-22_12-36-14_LS_2.3_044,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013033/myst_013033_2014-05-22_12-36-14_LS_2.3/myst_013033_2014-05-22_12-36-14_LS_2.3_044.wav,"stomach breaks down the food to even smaller pieces
",stomach breaks down the food to even smaller pieces,True,True,True,3.8005,013033,True,finetune
myst_007232_2014-11-21_10-50-01_MX_4.2_008,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007232/myst_007232_2014-11-21_10-50-01_MX_4.2/myst_007232_2014-11-21_10-50-01_MX_4.2_008.wav,"The chemicals
",the chemicals,True,True,True,3.0361875,007232,True,finetune
myst_990597_2010-16-04_00-00-00_MS_4.1_031,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990597/myst_990597_2010-16-04_00-00-00_MS_4.1/myst_990597_2010-16-04_00-00-00_MS_4.1_031.wav,"<BREATH> THE LITTLE CIRCLE IS ABOUT <BREATH> IT STANDS FOR DEGREES LIKE FIVE DEGREES ONE HUNDRED DEGREES FIFTY FIVE DEGREES AND TWENTY DEGREES
",the little circle is about it stands for degrees like five degrees one hundred degrees fifty five degrees and twenty degrees,True,True,True,14.272,990597,True,finetune
myst_013031_2013-11-14_13-53-15_EE_1.1_002,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013031/myst_013031_2013-11-14_13-53-15_EE_1.1/myst_013031_2013-11-14_13-53-15_EE_1.1_002.wav,"electricity and electromagnetism
",electricity and electromagnetism,True,True,True,3.46,013031,True,finetune
myst_990502_2010-10-02_00-00-00_WA_3.3_009,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990502/myst_990502_2010-10-02_00-00-00_WA_3.3/myst_990502_2010-10-02_00-00-00_WA_3.3_009.wav,"EVAPORATION IS HAPPENING
",evaporation is happening,True,True,True,14.375,990502,True,finetune
myst_013048_2014-04-30_12-23-14_LS_2.1_062,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013048/myst_013048_2014-04-30_12-23-14_LS_2.1/myst_013048_2014-04-30_12-23-14_LS_2.1_062.wav,"um by animals that make their own food
",um by animals that make their own food,True,True,True,5.345625,013048,True,finetune
myst_013011_2014-05-22_12-20-30_LS_3.3_024,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013011/myst_013011_2014-05-22_12-20-30_LS_3.3/myst_013011_2014-05-22_12-20-30_LS_3.3_024.wav,"by breathing and the lungs
",by breathing and the lungs,True,True,True,3.4550625,013011,True,finetune
myst_002294_2015-03-10_11-56-35_LS_1.1_002,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002294/myst_002294_2015-03-10_11-56-35_LS_1.1/myst_002294_2015-03-10_11-56-35_LS_1.1_002.wav,"what she said
",what she said,True,True,True,2.9529375,002294,True,finetune
myst_007240_2014-11-19_10-58-29_MX_3.1_004,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007240/myst_007240_2014-11-19_10-58-29_MX_3.1/myst_007240_2014-11-19_10-58-29_MX_3.1_004.wav,"It's clear
",it's clear,True,True,True,1.59375,007240,True,finetune
myst_014022_2014-01-13_14-03-06_MX_2.1_015,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014022/myst_014022_2014-01-13_14-03-06_MX_2.1/myst_014022_2014-01-13_14-03-06_MX_2.1_015.wav,"one is more dilute and one is more concentrate
",one is more dilute and one is more concentrate,True,True,True,3.0930625,014022,True,finetune
myst_990042_2008-30-04_00-00-00_MS_1.3_050,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-30-04_00-00-00_MS_1.3/myst_990042_2008-30-04_00-00-00_MS_1.3_050.wav,"I DON'T REALLY KNOW <LAUGH> I DON'T REMEMBER
",i don't really know i don't remember,True,True,True,2.81,990042,True,finetune
myst_002267_2015-04-21_08-04-18_LS_3.1_005,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002267/myst_002267_2015-04-21_08-04-18_LS_3.1/myst_002267_2015-04-21_08-04-18_LS_3.1_005.wav,"This is a palmate leaf because all the veins are going out and out and out just like a hand
",this is a palmate leaf because all the veins are going out and out and out just like a hand,True,True,True,8.682875,002267,True,finetune
myst_013021_2014-04-22_13-58-20_LS_1.3_018,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013021/myst_013021_2014-04-22_13-58-20_LS_1.3/myst_013021_2014-04-22_13-58-20_LS_1.3_018.wav,"we've been learning about ecosystem living (())
",we've been learning about ecosystem living,True,True,True,2.5860625,013021,True,finetune
myst_990042_2008-14-05_00-00-00_MS_4.1_116,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-14-05_00-00-00_MS_4.1/myst_990042_2008-14-05_00-00-00_MS_4.1_116.wav,"YEAH
",yeah,True,True,True,0.469,990042,True,finetune
myst_002122_2014-02-28_13-19-06_LS_1.1_026,/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002122/myst_002122_2014-02-28_13-19-06_LS_1.1/myst_002122_2014-02-28_13-19-06_LS_1.1_026.wav,"they have to do with like the subsystems of the earth
",they have to do with like the subsystems of the earth,True,True,True,3.972875,002122,True,finetune
